,Graze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13
121,Blue Dunham,9 - 10,brown black to deep blue breaking orange,,glossy,reduction,Semi-opaque,G-200 feldspar	43.20,Whiting	12.00,EPK	6.90,Strontium carbonate	12.00,Flint	25.90,Copper carbonate	0.40,Rutile	4.40,Iron oxide	4.40,,,,,
122,Blue Emily's,8,Blue,Untested,Satin matt,Ox. or Red.,Opaque,Custer feldspar	33.30,Gerstley borate	17.70,OM-4 Ball Clay	15.60,Talc	13.50,Silica	13.50,Dolomite	6.30,Zircopax	4.20,Cobalt carbonate	3.10,,,,,
123,Blue Goodrich Mediterranean,9 - 10,teal blue to black,,glossy,reduction,Opaque,G-200 feldspar	33.30,Whiting	25.00,Kentucky OM #4	12.50,Flint	25.00,Zinc oxide	4.20,Cobalt carbonate	5.00,Chrome oxide	2.50,,,,,,
124,Blue Green Glossy Deep,9 - 10,deep teal blue,,Waxy,reduction,Opaque,Whiting	23.30,G-200 feldspar	27.20,EPK	19.20,Flint	27.30,Zinc oxide	3.00,Chrome oxide	0.30,Cobalt carbonate	1.40,,,,,,
125,Blue green Satin Mat Clemson U,9 - 10,blue green,,satin matte,,,G-200 feldspar	38.69,Whiting	20.10,EPK	20.10,Flint	15.08,Rutile (light)	6.03,Cobalt carbonate	1.01,,,,,,,
126,Blue Green V&O,9 - 10,green,,glossy,reduction,Transparent,Whiting	19.60,Flint	32.90,EPK	20.00,G-200 feldspar	27.50,Yellow ochre	2.00,,,,,,,,
127,Blue Hennessy Revised,9 - 10,Blue,,Glossy,Reduction,Transparent,K-200 feldspar	44.00,Wollastonite	20.00,Dolomite	4.00,Grolleg	12.00,Flint	20.00,Red iron oxide	5.00,,,,,,,
128,Blue Jeff's Longbeach,9 - 10,gray/blue,,,,,Whiting	19.49,Custer feldspar	63.55,EPK	16.96,Cobalt carbonate	0.85,Rutile	4.00,,,,,,,,
129,Blue Leach,9 - 10,medium blue,,Gloss,reduction,,G-200 feldspar	57.89,Whiting	23.16,Gerstley borate	4.21,Flint	14.74,Tin oxide	3.16,Cobalt carbonate	1.05,Manganese dioxide	0.53,,,,,,
130,Blue Les's,10,Blue,,Gloss,Ox. or Red.,Transparent,Custer feldspar	25.00,Whiting	25.00,Flint	25.00,Ball clay	25.00,Cobalt oxide	0.25,Red iron oxide	1.00,,,,,,,
131,Blue Long Beach,10,blue,Untested,matte,Reduction,,Whiting	19.49,Custer feldspar	63.55,EPK	16.96,Cobalt carbonate	0.85,Rutile	4.00,,,,,,,,
132,Blue Matt Davidson,9 - 10,blue to green,,matte,reduction,Opaque,Feldspar	53.80,Whiting	24.80,Kentucky OM #4	21.40,Cobalt carbonate	0.70,,,,,,,,,
133,Blue Midnight,9 - 10,dark blue,,glossy,reduction,Semi-opaque,Flint	31.00,Whiting	20.00,G-200 feldspar	33.00,EPK	14.00,Spodumene	2.00,Cobalt carbonate	7.00,,,,,,,
134,Blue Moceri Matt,9 - 10,turquoise to lavender,,Matt,reduction,Opaque,Flint	4.36,EPK	7.63,Nepheline syenite	65.39,Strontium carbonate	20.44,Lithium carbonate	2.18,Copper oxide	1.64,Bentonite	2.18,,,,,,
135,Blue New,9 - 10,slate blue,,glossy,reduction,,G-200 feldspar	29.70,Dolomite	4.95,Whiting	15.84,EPK	12.87,Flint	36.63,Bentonite	1.98,Red iron oxide	0.50,Cobalt carbonate	0.50,Rutile	0.99,,,,
136,Blue Nickel Horie,10,Purple,,Matt,Reduction,Semi-opaque,Custer feldspar	39.00,Barium carbonate	40.00,Zinc oxide	15.00,EPK	5.00,Flint	5.00,Black nickel oxide	1.50,,,,,,,
137,Blue Pablo's,9 - 10,milky dark blue,,glossy,reduction,,G-200 feldspar	44.57,Flint	19.05,EPK	2.38,Whiting	11.43,Gerstley borate	13.05,Zinc oxide	3.81,Dolomite	5.71,Tin oxide	2.86,Copper oxide	0.48,Rutile	0.48,Cobalt carbonate	0.95,,
138,blue Pale,10,pale blue,Untested,Gloss,Ox. or Red.,,Nepheline syenite	48.20,Barium carbonate	37.30,Ball clay	7.00,Silica	7.50,Cobalt carbonate	2.00,Rutile	5.00,,,,,,,
139,Blue Peacock,9 - 10,light blue,,satin matte,reduction,,G-200 feldspar	34.00,Gerstley borate	12.00,Whiting	7.00,EPK	9.00,Talc	19.00,Flint	19.00,Cobalt oxide	0.30,Chrome oxide	0.50,,,,,
140,Blue Periwinkle Kelli's,10,Blue-purple,,Gloss,Reduction,Transparent,K-200 feldspar	44.00,EPK	10.00,Whiting	18.00,Flint	28.00,Cobalt carbonate	0.50,,,,,,,,
141,Blue Persimmon,10,blue,Untested,Gloss,reduction,Opaque,G-200 feldspar	71.40,Silica	14.30,Whiting	14.30,Red iron oxide	2.00,Rutile	3.10,Cobalt carbonate	0.50,Bentonite	3.10,,,,,,
142,Blue Persimmon Glossy,9 - 10,Rust to bright blue Opaque,Untested,Glossy,Reduction,,K-200 spar	68.00,Whiting	16.00,Flint	16.00,Iron oxide	2.00,Rutile	3.00,Bentonite	3.00,,,,,,,
143,Blue Robin's Egg Spot,10,blue with olive spots,,Satin matt,Reduction,Opaque,Zinc oxide	7.60,Custer feldspar	51.00,Whiting	8.80,Strontium carbonate	15.50,Ball clay	9.80,Bone ash	2.20,Rutile	8.70,Cobalt carbonate	1.00,,,,,
144,Blue Royal,10,royal blue,,matte,Ox. or Red.,Opaque,Custer spar	40.83,Whiting	16.97,Strontium carbonate	5.30,EPK	20.89,Silica	16.01,Titanium dioxide	4.77,Cobalt carbonate	1.91,Bentonite	1.06,,,,,
145,Blue Rutile,10,Blue,Untested,Gloss,reduction,,Potash feldspar	32.20,Whiting	20.50,Flint	19.50,EPK	16.60,Talc	11.20,Rutile	8.30,,,,,,,
146,Blue Satin,9-10,Blue,,Satin matt,Ox. or Red.,Opaque,G-200 feldspar	36.00,EPK	22.00,Dolomite	18.00,Flint	16.00,Gillespie borate	4.00,Whiting	4.00,Cobalt oxide	0.50,Chrome oxide	0.15,Manganese dioxide	0.25,,,,
147,Blue Stable,9 - 10,royal blue to green,,glossy,reduction,,G-200 feldspar	30.94,Flint	26.84,Whiting	19.11,Kentucky OM #4	12.80,EPK	10.31,Cobalt carbonate	1.22,,,,,,,
148,Blue Textured  1,9 - 10,deep purple to blue,,satin matte,reduction,Semi-opaque,G-200 feldspar	21.00,Nepheline syenite	21.00,Kentucky OM #4	4.50,Gerstley borate	11.80,Dolomite	7.50,Talc	14.40,Silica	19.60,Cobalt oxide	3.00,,,,,
149,Blue Textured 2,10,Blue,,Semi-gloss,Reduction,Opaque,Custer feldspar	40.80,Flint	16.00,Whiting	17.00,Strontium carbonate	5.30,EPK	20.90,Cobalt carbonate	2.70,Rutile	4.80,,,,,,
150,Blue TH,9,blue,Untested,?,Ox. or Red.,Opaque,Potash feldspar	42.80,Flint	26.60,Whiting	22.10,EPK	8.50,Cobalt carbonate	1.00,Titanium dioxide	3.00,Black nickel oxide	1.00,,,,,,
151,Blue V&O Lt,9 - 10,Clear,,Gloss,reduction,Transparent,Whiting	19.03,Flint	31.94,EPK	19.42,G-200 feldspar	26.70,Barnard slip	2.91,,,,,,,,
152,BLUE V.C. AA COBALT,9-10,Blue Semi-Opaque,Tested,Matte,Reduction,,Cornwall Stone	46.00,Whiting	34.00,EPK	20.00,Cobalt carbonate	2.00,,,,,,,,,
153,Blue V.C. Rich Matt,9 ONLY,Blue to black Semi-Opaque,Untested,Satin,Reduction,,Custer spar	36.00,Gerstley borate	4.00,Dolomite	18.00,Whiting	4.00,EPK	22.00,Flint	16.00,Cobalt carbonate	1.00,chrome oxide	0.25,Manganese dioxide	0.50,,,,
154,Blue VC Rich Matt,9 - 10,blue brown,,Satin matt,reduction,,G-200 feldspar	39.00,Gerstley borate	2.00,Dolomite	21.00,Whiting	2.00,EPK	25.00,Flint	11.00,Cobalt carbonate	1.00,Chrome oxide	0.25,Manganese dioxide	0.50,,,,
155,Blue Waxy Matt,9 - 10,brown to broken blue,,Waxy,reduction,,G-200 feldspar	39.00,Dolomite	7.00,Gerstley borate	12.00,Talc	15.00,EPK	4.00,Flint	23.00,Rutile	4.00,Cobalt carbonate	0.50,,,,,
156,"Blue, St. John's",9 - 12,Blue-black,Untested,Glossy,Salt - Soda,Semi-opaque,Jackson Ball	10.00,Custer feldspar	50.00,Flint	20.00,Wollastonite	10.00,Gerstley borate	4.00,Zinc oxide	3.00,Bentonite	3.00,Red iron oxide	3.00,Cobalt oxide	2.00,,,,
157,BLUE-GREEN V.C. AA COPPER,9-10,Semi-Opaque Blue-Green,Tested,Matte,Reduction,,Cornwall Stone	46.00,Whiting	34.00,EPK	20.00,Copper carbonate	4.00,Tin oxide	4.00,,,,,,,,
158,Blue/Black Val's,10,,,,Reduction,,Cornwall Stone	46.00,Whiting	34.00,EPK	20.00,Copper carbonate	4.00,Tin oxide	4.00,,,,,,,,
159,Boubaric Tesha,9 - 10,iron red brown,,,,,Kona F-4 feldspar	23.60,Whiting	17.98,Ball clay	29.21,Flint	29.21,Red iron oxide	13.48,,,,,,,,
160,Bronze Chinese,10,Green,,,Ox. or Red.,,Nepheline syenite	42.70,Barium carbonate	38.80,Ball clay	10.70,Flint	7.80,Copper carbonate	1.00,Red iron oxide	3.00,Titanium dioxide	4.00,,,,,,
161,Bronze Gold,8-10,Bronze metallic,,Metallic,Ox. or Red.,Opaque,Redart	60.00,Ball clay	5.00,Flint	5.00,Manganese dioxide	45.00,Black copper oxide	5.00,Cobalt oxide	5.00,,,,,,,
162,Bronze Gold Metallic,6-10,Bronze metallic,,Matt,Ox. or Red.,Opaque,Redart	85.70,Ball clay	7.10,Flint	7.10,Manganese dioxide	64.30,Black copper oxide	7.10,Cobalt oxide	7.10,,,,,,,
163,Bronze Larry's,9,Bronze metallic,,Metallic,Oxidation,Opaque,Ball clay	7.00,Redart	86.00,Flint	7.00,Cobalt carbonate	14.00,Copper carbonate	14.00,Manganese dioxide	64.00,,,,,,,
164,Bronze Manganese Saturated,10,Metallic bronze,,Metallic,Reduction,Opaque,Potash feldspar	67.50,Whiting	2.75,Talc	1.25,Kaolin	4.25,Silica	3.50,Red iron oxide	0.75,,,,,,,
165,Bronze metallic Larry's,9,bronze metallic,,,Oxidation,Opaque,Ball clay	7.00,Redart	86.00,Flint	7.00,Cobalt carbonate	14.00,Copper carbonate	14.00,Manganese dioxide	64.00,,,,,,,
166,Brown soft SG-21 Aysha Peltz,9-10,Brown,Tested,Satin matt,Oxidation,Semi-opaque,Kona F-4 feldspar	44.00,Whiting	11.00,Dolomite	17.00,EPK	17.00,Flint	11.00,Manganese carbonate	11.00,,,,,,,
167,Brown soft SG-21 Aysha Peltz Recalc test,9-10,Brown,Untested,Satin matt,Oxidation,Semi-opaque,Kona F-4 feldspar	41.00,Whiting	10.00,Dolomite	15.50,EPK	16.30,Flint	19.00,Manganese carbonate	1.30,,,,,,,
168,Brown Steel,10,Brown,,Semi-gloss,Reduction,Opaque,Nepheline syenite	70.00,Whiting	5.00,Gerstley borate	2.00,Petalite	15.00,Kentucky OM #4	8.00,Bentonite	2.00,Ochre	7.00,,,,,,
169,Buckwheat,7,Tan,,Satin matt,,Opaque,Barium carbonate	2.86,Talc	10.48,Whiting	17.14,Feldspar	47.62,Kaolin	7.62,Flint	14.28,Nickel oxide	0.95,Red iron oxide	7.62,,,,,
170,Buttermilk,10 - 11,off white,,,,,Gerstley borate	10.50,Dolomite	6.80,Whiting	9.00,Potash feldspar	29.30,Kaolin	6.80,Talc	13.50,Flint	24.10,Opax	8.00,,,,,
171,Buttermilk revised,9 - 10,off white,,,,,Gerstley borate	13.00,Dolomite	6.00,Whiting	9.00,G-200 feldspar	29.00,EPK	6.00,Talc	16.00,Silica	21.00,Opax	8.00,,,,,
172,Celadon,10,,,satin,,,Potash feldspar	41.50,Whiting	15.00,Zinc oxide	12.00,China clay	4.50,Silica	27.00,Red iron oxide	1.00,,,,,,,
173,celadon  gray no gb,11,Gray,Untested,Semi-gloss,Reduction,Transparent,Custer feldspar	34.70,Silica	17.80,EPK	14.70,Whiting	8.80,Dolomite	6.30,Frit 3134	17.70,,,,,,,
174,Celadon - Choy Blue,9 - 10,blue,Untested,Shiny or Glossy,reduction,,Custer feldspar	50.00,Barium carbonate	14.00,Whiting	7.00,Grolleg Kaolin	5.00,Silica	24.00,Red iron oxide	2.00,,,,,,,
175,Celadon 1234,10,green,,glossy shiny,Reduction,Transparent,Kaolin	10.00,Whiting	20.00,Silica	30.00,Feldspar	40.00,Red iron oxide	2.00,,,,,,,,
176,Celadon 202.2 Blue-Grey,8,blue-grey,Untested,Gloss,Ox. or Red.,Transparent,Nepheline syenite	28.00,Dolomite	12.00,Whiting	7.00,Barium carbonate	6.00,Lithium carbonate	1.00,EPK	10.00,Silica	36.00,Bentonite	3.00,Copper carbonate	2.00,Cobalt carbonate	0.25,,,
177,Celadon Blue Green V&O,9 - 10,green,,glossy,reduction,Transparent,Whiting	19.60,Flint	32.90,EPK	20.00,G-200 feldspar	27.50,Yellow ochre	2.00,,,,,,,,
178,Celadon Blue-Sam Chung,10,Blue,,Gloss,Reduction,Translucent,Kona F-4 feldspar	40.00,Gerstley borate	13.00,Barium carbonate	5.00,Whiting	8.50,Flint	29.00,Frit 3110	3.00,Grolleg	10.00,Tin oxide	1.00,Barnard clay	3.00,,,,
179,Celadon Blue-Sam Chung no GB,10,Blue,,Gloss,Reduction,Translucent,Nepheline syenite	29.50,Dolomite	1.90,Whiting	9.90,Barium carbonate	4.60,Silica	31.30,Frit 3195	22.80,Tin oxide	0.30,Barnard clay	0.80,Bentonite	0.50,,,,
180,Celadon C10R H House Revised,10,green,Untested,shiny glossy,reduction,,Silica	36.00,G-200 Feldspar	23.00,EPK	18.00,Whiting	14.00,Talc	9.00,Red iron oxide	1.00,,,,,,,
181,Celadon C10R Tom Coleman Revised,10,light green,Untested,shiny glossy,reduction,,G-200 Feldspar	43.04,Silica 200 mesh	38.64,Strontium carbonate	12.61,EPK	5.71,Red iron oxide	0.10,,,,,,,,
182,Celadon C9R Beherens Revised,9,light green,Untested,shiny glossy,reduction,,Silica	56.12,EPK	20.41,Whiting	15.31,Lithium carbonate	8.16,Red iron oxide	2.04,,,,,,,,
183,Celadon Choy Blue,10,Blue-green,,Gloss,Reduction,Transparent,Kona F-4 feldspar	51.72,EPK	4.14,Whiting	6.33,Silica	20.93,Barium carbonate	16.88,Red iron oxide	2.10,Tin oxide	2.70,,,,,,
184,Celadon Choy Blue UF,10,Blue,,Gloss,Reduction,Translucent,Custer feldspar	54.00,Whiting	6.60,Silica	21.80,Georgia Kaolin	4.30,Strontium carbonate	13.30,Red iron oxide	2.10,Bentonite	2.00,,,,,,
185,Celadon Choy Blue UF recalc,10,Blue,,Gloss,Reduction,Translucent,Nepheline syenite	36.20,Whiting	7.00,Strontium carbonate	13.50,Silica	39.40,EPK	3.90,Red iron oxide	2.10,Bentonite	2.00,Kaopaque	100.00,,,,,
186,Celadon Coleman Apple Green,10,light apple green,Untested,,Reduction,,Whiting	17.95,Potash feldspar	43.59,EPK Kaolin	10.26,Flint	28.20,Chrome oxide	0.25,Red iron oxide	0.77,,,,,,,
187,Celadon Coleman Ice Blue,10,light blue green,Untested,"glossy, shiny",Reduction,,Potash feldspar	46.00,Barium carbonate	16.00,China clay	6.00,Silica	32.00,Yellow iron oxide	1.00,,,,,,,,
188,Celadon Fake Blue,9-11,Turquoise,,Gloss,Wood,Opaque,Nepheline syenite	71.60,Dolomite	23.60,Kentucky OM #4	4.80,Superpax	17.90,Bentonite	4.50,Copper carbonate	1.50,,,,,,,
189,celadon gray,11,Gray,Untested,Semi-gloss,Reduction,Transparent,G-200 feldspar	45.00,Flint	22.00,EPK	8.00,Whiting	11.00,Gerstley borate	9.00,Dolomite	5.00,,,,,,,
190,Celadon Green T.M.,10,Green,Tested,Gloss,Reduction,Transparent,Cornwall Stone	40.00,Whiting	15.00,Strontium carbonate	10.00,Flint	20.00,Grolleg	15.00,,,,,,,,
191,celadon grey,8 - 10,,Untested,,Ox. or Red.,,barium carb	2.04,Custer spar	61.23,Whiting	7.14,EPK	5.10,Silica	24.49,black iron	1.53,Bentonite	1.02,,,,,,
192,Celadon Grey Blue,8 - 10,grey blue,,glossy,reduction,Transparent,Potash feldspar	79.63,Flint	14.30,Whiting	6.07,Iron oxide	2.26,Tin oxide	0.62,,,,,,,,
193,Celadon Grey-Green from Pete Pinnell,9,grey-green,,Gloss,Reduction,Transparent,Nepheline syenite	33.00,Whiting	20.00,Flint	30.00,Ball clay	17.00,Yellow iron oxide	2.00,,,,,,,,
194,Celadon Leach 1234,10,light green,,glossy shiny,Reduction,Transparent,China clay	10.00,Whiting	20.00,Silica	30.00,Feldspar	40.00,Red iron oxide	4.00,,,,,,,,
195,Celadon Mather,10,Transparent Blue,Untested,Shiny or Glossy,reduction,,Whiting	17.40,Zinc oxide	2.30,Custer feldspar	46.20,Kaolin	13.90,Silica	20.20,Cobalt carbonate	0.30,,,,,,,
196,Celadon oxidation Horie,10,Clear,,Gloss,Salt - Soda,Transparent,Barium carbonate	6.10,Dolomite	3.00,Lithium carbonate	2.00,Whiting	13.10,Custer feldspar	21.20,Petalite	21.20,EPK	15.20,Flint	18.20,,,,,
197,Celadon pale,9 - 10,Green,Untested,Shiny or Glossy,Ox. or Red.,Transparent,Custer feldspar	27.00,OM-4 Ball clay	14.00,Whiting	20.50,Silica	31.50,Kaolin	7.00,,,,,,,,
198,Celadon Sanders,10,celadon green,,"glossy, shiny",Reduction,Transparent,Kona F-4 feldspar	41.90,Whiting	17.14,Kaolin	9.52,Silica	26.67,Barnard clay	4.76,Bentonite	1.90,,,,,,,
199,Celadon Secrest,9 - 10,Blue-green celadon Clear,Untested,Glossy,Reduction,,Custer spar	53.00,EPK	6.00,Flint	24.00,Whiting	12.00,Barium carbonate	2.50,Zinc oxide	2.50,Red iron oxide	2.00,,,,,,
200,Celadon Tom Coleman's Iron Blue-Green,9 - 11,blue-green,,shiny glossy,Reduction,Transparent,Custer feldspar	46.13,Silica (200m)	31.89,EPK	5.66,Barium carbonate	16.32,Yellow iron oxide	0.19,,,,,,,,
201,Celadon V.C. Lung Chuan,9 - 10,Green,Untested,Semi-gloss,Reduction,Translucent,Custer spar	30.00,Whiting	19.00,Flint	30.00,EPK	8.00,Barnard clay	4.00,Wood ash	6.00,Ball clay	3.00,Red iron oxide	1.00,,,,,
202,Celadon Warren MacKenzie's Blue Black,9 - 10,blue black,,glossy shiny,,,Potash feldspar	25.00,EPK	25.00,Flint	25.00,Whiting	25.00,Red iron oxide	4.00,Cobalt carbonate	2.00,Bentonite	2.00,,,,,,
203,celadon Wax blue-green,10,blue green,,glossy,reduction,Transparent,Nepheline syenite	42.81,Silica	27.52,Whiting	19.37,EPK	10.30,Red iron oxide	1.94,,,,,,,,
204,Celedon Martell Clear,10,clear green,,,reduction,,G-200 feldspar	30.20,Dolomite	4.70,Whiting	15.90,EPK kaolin	18.90,Silica	30.30,,,,,,,,
205,Charlie D Manganese,10,black,Untested,satin,reduction,,Custer spar	20.00,Kona F-4 feldspar	20.00,Whiting	2.00,Dolomite	15.00,Talc	13.00,Ball clay	10.00,Flint	20.00,Bentonite	2.00,Manganese dioxide	4.00,,,,
206,Chartreuse Andy Martin's Showsaver,10,Chartreuse,,Gloss,Ox. or Red.,Transparent,Barium carbonate	22.90,Gerstley borate	3.80,Strontium carbonate	13.00,Wollastonite	3.40,Nepheline syenite	26.90,Ball clay	9.50,Flint	20.50,chrome	0.50,,,,,
207,Chun,9 - 10,SemiOpaque Blue,Untested,Shiny or Glossy,reduction,,Potash feldspar	86.00,Whiting	7.50,Softwood ash	4.30,Bone ash	2.20,Yellow ochre	1.10,Bentonite	1.10,,,,,,,
208,Chun - Brayford,9 - 10,chun blue,,glossy shiny,Reduction,Translucent,Potash feldspar	42.60,Flint	29.70,Whiting	19.80,Talc	5.00,Kaolin	2.00,Gerstley borate	1.00,Red iron oxide	1.00,,,,,,
209,Chun - Pettyjohn,9 - 10,chun blue to white opaque,,glossy shiny,Reduction,Translucent,Cornwall Stone	43.00,Whiting	19.40,Kaolin	10.80,Silica	26.90,Titanium dioxide	7.50,Iron oxide	1.10,,,,,,,
210,Chun Blue,9 - 10,chun blue,,glossy shiny,Reduction,Translucent,Whiting	27.60,Custer feldspar	27.60,Kaolin	21.50,Flint	19.80,Magnesium carbonate	3.50,Ultrox	10.10,Rutile	5.10,Cobalt oxide	1.00,Red iron oxide	1.00,,,,
211,Chun Blue Glaze,9 - 10,pale blue,Untested,Gloss,reduction,,Potash feldspar	54.77,Whiting	13.69,Bone ash	1.42,Barium carbonate	2.74,Silica	27.38,Red iron oxide	1.10,,,,,,,
212,Chun Deller,9-10,Blue,,Waxy,Reduction,Translucent,Custer spar	45.00,Grolleg	2.10,Flint	29.00,Gerstley borate	9.50,Dolomite	9.50,Zinc oxide	1.90,Strontium carbonate	3.10,Tin oxide	2.80,Red iron oxide	0.50,,,,
213,Chun No Flint,10,Clear,,Semi-gloss,Ox. or Red.,Transparent,Kona F-4 feldspar	54.30,Whiting	20.00,Zinc oxide	17.10,Kentucky OM #4	8.60,,,,,,,,,
214,Clay  Casting Porcelain slip,10,White,,unglazed,Ox. or Red.,Translucent,Kentucky OM #4	25.00,EPK	25.00,Custer feldspar	25.00,Flint	15.00,Nepheline syenite	10.00,Soda ash	0.10,Sodium silicate	0.57,,,,,,
215,clay  Stoneware White VC,9-10,White,,unglazed,Ox. or Red.,Opaque,Tile 6 clay	20.00,EPK	20.00,GoldArt	15.00,Pine Lake	15.00,Custer feldspar	12.00,Flint	8.00,Molochite	2.00,,,,,,
216,Clay Buff Snair's,8-10,Tan,,unglazed,Ox. or Red.,Semi-opaque,GoldArt	65.00,A.P. Green	13.00,Ball clay	13.00,Custer feldspar	9.00,grog	6.00,,,,,,,,
217,Clay Casting Anna's,10,White,,Unglazed,Ox. or Red.,Opaque,EPK	8.00,Velva Cast	7.00,Grolleg	35.00,Silica	20.00,Custer feldspar	30.00,,,,,,,,
218,Clay Casting Porcelain Andrew Martin,10,White,,,Ox. or Red.,,Grolleg	30.00,EPK	6.00,Tennessee ball clay	7.00,Ball clay	7.00,Custer feldspar	25.00,Flint	25.00,Sodium silicate	0.25,,,,,,
219,Clay casting porcelain Reeves,10,White,,,,Translucent,Feldspar	34.00,Kaolin	40.00,Flint	26.00,Darvan	0.01,,,,,,,,,
220,Clay Casting Porcelain Siffen,10,Clear,,,Ox. or Red.,,Grolleg	40.00,C & C	5.00,Custer feldspar	26.00,Flint	19.00,pyrotrol	10.00,Sodium silicate	0.25,,,,,,,
221,Clay Casting Porcelain slip,10,White,,unglazed,Ox. or Red.,Translucent,Kentucky OM #4	25.00,EPK	25.00,Custer feldspar	25.00,Flint	15.00,Nepheline syenite	10.00,Soda ash	0.10,Sodium silicate	0.57,,,,,,
222,Clay Casting Porcelain Slip Michael Corney,10,White,,,,,Kentucky OM #4	2500.00,EPK	2500.00,Custer feldspar	2500.00,Flint	1500.00,Nepheline syenite	1000.00,Soda ash	10.00,Sodium silicate	57.00,,,,,,
223,Clay Casting Porcelain Slip Michael Corney,10,White,,,,,Kentucky OM #4	2500.00,EPK	2500.00,Custer feldspar	2500.00,Flint	1500.00,Nepheline syenite	1000.00,Soda ash	10.00,Sodium silicate	57.00,,,,,,
224,Clay casting porcelain Spleth,8-10,White,,Unglazed,Ox. or Red.,,Grolleg	30.00,kaolin Georgia	12.00,Ball clay	8.00,Flint	20.00,pyrotrol	12.00,Custer feldspar	18.00,Darvan	0.35,,,,,,
225,Clay Casting Spleth Slip,10,White,,,Ox. or Red.,,Grolleg	35.00,EPK	7.00,Ball clay	8.00,pyrotrol	7.00,Custer feldspar	18.00,Flint	25.00,Sodium silicate	0.25,,,,,,
226,clay for wood Barbour,10,Orange,,,Wood,,A.P. Green	33.00,XX Sagger	26.00,Tile 6 clay	15.00,EPK	19.00,Custer feldspar	7.00,Grog	15.00,Kyanite	7.00,,,,,,
227,clay grey stoneware,10,White,,Lichen,Ox. or Red.,Opaque,Foundry Hill Creme	40.00,Tile 6 clay	20.00,Kentucky OM #4	20.00,Custer feldspar	15.00,Flint	5.00,,,,,,,,
228,Clay Porcealin Frank Martin,10,White,,,Ox. or Red.,,Grolleg	12.50,EPK	20.00,Tile 6 clay	25.00,XX Sagger	12.50,G-200 feldspar	20.00,Pyrax	15.00,Bentonite	2.00,,,,,,
229,Clay Porcelain  Otis,9-10,White,Tested,unglazed,Ox. or Red.,Opaque,Grolleg	45.00,Tennessee ball clay	15.00,Custer feldspar	20.00,Flint	20.00,,,,,,,,,
230,Clay Porcelain Beasecker 9-10,8-10,White,,,Ox. or Red.,,#6 Tile clay	30.00,EPK	15.00,Tennessee #1	5.00,Custer feldspar	27.00,Flint	23.00,Bentonite	2.00,Epsom salts	0.25,,,,,,
231,Clay Porcelain Beasecker2,8-10,White,,,Reduction,,Grolleg	50.00,Custer feldspar	27.00,Flint	23.00,Bentonite	2.00,Epsom salts	0.25,,,,,,,,
232,Clay Porcelain Bohls,9,White,,,Ox. or Red.,Semi-opaque,Grolleg	50.00,Tile 6 clay	50.00,Custer feldspar	39.50,Flint	26.30,pyrotrol	23.70,Bentonite	4.00,,,,,,,
233,clay porcelain Matt Long's fabulous,10-12,White,,unglazed,Ox. or Red.,Opaque,Grolleg	55.00,Silica	27.00,Custer feldspar	15.00,Alumina	3.00,Macaloid	2.00,,,,,,,,
234,Clay Porcelain Matt's,10,White,,,Ox. or Red.,,Tile 6 clay	31.00,EPK	15.00,Custer feldspar	25.00,Silica	15.00,Ball clay	6.00,Pyrophyllite	8.00,Bentonite	2.00,,,,,,
235,Clay Porcelain Tim Mather,9-11,White,,,Ox. or Red.,Opaque,Tile 6 clay	38.50,Kentucky OM #4	19.20,Flint	19.20,Custer feldspar	23.10,,,,,,,,,
236,Clay Porcelain White PP Mod.,9-10,White,,unglazed,Ox. or Red.,Opaque,Grolleg	45.00,Ball clay	11.00,Custer feldspar	20.00,Flint	24.00,Bentonite	10.00,,,,,,,,
237,Clay Porcelain Wiseman's,10,White,,unglazed,Ox. or Red.,Opaque,Grolleg	45.00,EPK	30.00,Kona F-4 feldspar	15.00,Custer feldspar	15.00,Pyrax	15.00,Flint	15.00,Bentonite	30.00,,,,,,
238,Clay Porecelain Bill's Grey,10,grey,,Lichen,Ox. or Red.,Opaque,Tile 6 clay	25.00,XX Sagger	15.00,Ball clay	10.00,Feldspar	30.00,Flint	20.00,Bentonite	1.00,,,,,,,
239,Clay Stoneware Brown,8-10,Brown - Orange,,,Ox. or Red.,,A.P. Green	32.00,GoldArt	37.00,Ball clay	21.00,Custer feldspar	4.00,Redart	6.00,grog	5.00,,,,,,,
240,Clay Stoneware Buff Snair's,8-10,Tan,,unglazed,Ox. or Red.,Semi-opaque,GoldArt	65.00,A.P. Green	13.00,Ball clay	13.00,Custer feldspar	9.00,grog	6.00,,,,,,,,
241,clay stoneware Goldberg,10,Brown,,unglazed,Reduction,,A.P. Green	47.00,GoldArt	23.00,Kentucky OM #4	20.00,Redart	5.00,Feldspar	4.00,grog	10.00,,,,,,,
242,clay stoneware grey,10,White,,unglazed,Ox. or Red.,Opaque,Foundry Hill Creme	40.00,Tile 6 clay	20.00,Kentucky OM #4	20.00,Custer feldspar	15.00,Flint	5.00,,,,,,,,
243,Clay Stoneware Grey to White,8-10,White,,,Ox. or Red.,,Foundry Hill Creme	42.00,Tile 6 clay	21.00,Ball clay	16.00,Pyrophyllite	16.00,Custer feldspar	5.00,,,,,,,,
